service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
10,1,1,1,1,1,0,0,20250316,20250614
12,0,0,0,0,0,1,0,20250316,20250614
13,0,0,0,0,0,0,1,20250316,20250614
16,1,1,1,1,1,0,0,20250316,20250614
18,0,0,0,0,0,1,0,20250316,20250614
19,0,0,0,0,0,0,1,20250316,20250614
22,1,1,1,1,1,0,0,20250316,20250614
24,0,0,0,0,0,1,0,20250316,20250614
25,0,0,0,0,0,0,1,20250316,20250614
28,1,1,1,1,1,0,0,20250316,20250614
30,0,0,0,0,0,1,0,20250316,20250614
31,0,0,0,0,0,0,1,20250316,20250614
40,1,1,1,1,1,0,0,20250316,20250615
42,0,0,0,0,0,1,0,20250316,20250615
43,0,0,0,0,0,0,1,20250316,20250615
46,1,1,1,1,1,0,0,20250316,20250614
48,0,0,0,0,0,1,0,20250316,20250614
49,0,0,0,0,0,0,1,20250316,20250614
52,1,1,1,1,1,0,0,20250316,20250614
54,0,0,0,0,0,1,0,20250316,20250614
55,0,0,0,0,0,0,1,20250316,20250614
