service_id,date,exception_type
33610,20250317,1
34010,20250317,1
65110,20250317,1
336110,20250317,1
341510,20250317,1
33610,20250318,1
34010,20250318,1
65110,20250318,1
336010,20250318,1
341610,20250318,1
33710,20250319,1
34010,20250319,1
65010,20250319,1
336010,20250319,1
341510,20250319,1
33610,20250320,1
34010,20250320,1
65110,20250320,1
336010,20250320,1
341510,20250320,1
33610,20250321,1
34110,20250321,1
65010,20250321,1
336010,20250321,1
341510,20250321,1
33610,20250324,1
34010,20250324,1
65110,20250324,1
336110,20250324,1
341510,20250324,1
33610,20250325,1
34010,20250325,1
65110,20250325,1
336010,20250325,1
341610,20250325,1
33710,20250326,1
34010,20250326,1
65010,20250326,1
336010,20250326,1
341510,20250326,1
33610,20250327,1
34010,20250327,1
65110,20250327,1
336010,20250327,1
341510,20250327,1
33610,20250328,1
34110,20250328,1
65010,20250328,1
336010,20250328,1
341510,20250328,1
33610,20250331,1
34010,20250331,1
65110,20250331,1
336110,20250331,1
341510,20250331,1
33610,20250401,1
34010,20250401,1
65110,20250401,1
336010,20250401,1
341610,20250401,1
33710,20250402,1
34010,20250402,1
65010,20250402,1
336010,20250402,1
341510,20250402,1
33610,20250403,1
34010,20250403,1
65110,20250403,1
336010,20250403,1
341510,20250403,1
33610,20250404,1
34110,20250404,1
65010,20250404,1
336010,20250404,1
341510,20250404,1
33610,20250407,1
34010,20250407,1
65110,20250407,1
336110,20250407,1
341510,20250407,1
33610,20250408,1
34010,20250408,1
65110,20250408,1
336010,20250408,1
341610,20250408,1
33710,20250409,1
34010,20250409,1
65010,20250409,1
336010,20250409,1
341510,20250409,1
33610,20250410,1
34010,20250410,1
65110,20250410,1
336010,20250410,1
341510,20250410,1
33610,20250411,1
34110,20250411,1
65010,20250411,1
336010,20250411,1
341510,20250411,1
33610,20250414,1
34010,20250414,1
65110,20250414,1
336110,20250414,1
341510,20250414,1
33610,20250415,1
34010,20250415,1
65110,20250415,1
336010,20250415,1
341610,20250415,1
33710,20250416,1
34010,20250416,1
65010,20250416,1
336010,20250416,1
341510,20250416,1
33610,20250417,1
34010,20250417,1
65110,20250417,1
336010,20250417,1
341510,20250417,1
33610,20250418,1
34110,20250418,1
65010,20250418,1
336010,20250418,1
341510,20250418,1
33610,20250421,1
34010,20250421,1
65110,20250421,1
336110,20250421,1
341510,20250421,1
33610,20250422,1
34010,20250422,1
65110,20250422,1
336010,20250422,1
341610,20250422,1
33710,20250423,1
34010,20250423,1
65010,20250423,1
336010,20250423,1
341510,20250423,1
33610,20250424,1
34010,20250424,1
65110,20250424,1
336010,20250424,1
341510,20250424,1
33610,20250425,1
34110,20250425,1
65010,20250425,1
336010,20250425,1
341510,20250425,1
33610,20250428,1
34010,20250428,1
65110,20250428,1
336110,20250428,1
341510,20250428,1
33610,20250429,1
34010,20250429,1
65110,20250429,1
336010,20250429,1
341610,20250429,1
33710,20250430,1
34010,20250430,1
65010,20250430,1
336010,20250430,1
341510,20250430,1
33610,20250501,1
34010,20250501,1
65110,20250501,1
336010,20250501,1
341510,20250501,1
33610,20250502,1
34110,20250502,1
65010,20250502,1
336010,20250502,1
341510,20250502,1
33610,20250505,1
34010,20250505,1
65110,20250505,1
336110,20250505,1
341510,20250505,1
33610,20250506,1
34010,20250506,1
65110,20250506,1
336010,20250506,1
341610,20250506,1
33710,20250507,1
34010,20250507,1
65010,20250507,1
336010,20250507,1
341510,20250507,1
33610,20250508,1
34010,20250508,1
65110,20250508,1
336010,20250508,1
341510,20250508,1
33610,20250509,1
34110,20250509,1
65010,20250509,1
336010,20250509,1
341510,20250509,1
33610,20250512,1
34010,20250512,1
65110,20250512,1
336110,20250512,1
341510,20250512,1
33610,20250513,1
34010,20250513,1
65110,20250513,1
336010,20250513,1
341610,20250513,1
33710,20250514,1
34010,20250514,1
65010,20250514,1
336010,20250514,1
341510,20250514,1
33610,20250515,1
34010,20250515,1
65110,20250515,1
336010,20250515,1
341510,20250515,1
33610,20250516,1
34110,20250516,1
65010,20250516,1
336010,20250516,1
341510,20250516,1
33610,20250519,1
34010,20250519,1
65110,20250519,1
336110,20250519,1
341510,20250519,1
33610,20250520,1
34010,20250520,1
65110,20250520,1
336010,20250520,1
341610,20250520,1
33710,20250521,1
34010,20250521,1
65010,20250521,1
336010,20250521,1
341510,20250521,1
33610,20250522,1
34010,20250522,1
65110,20250522,1
336010,20250522,1
341510,20250522,1
33610,20250523,1
34110,20250523,1
65010,20250523,1
336010,20250523,1
341510,20250523,1
13,20250526,1
10,20250526,2
33610,20250527,1
34010,20250527,1
65110,20250527,1
336010,20250527,1
341610,20250527,1
33710,20250528,1
34010,20250528,1
65010,20250528,1
336010,20250528,1
341510,20250528,1
33610,20250529,1
34010,20250529,1
65110,20250529,1
336010,20250529,1
341510,20250529,1
33610,20250530,1
34110,20250530,1
65010,20250530,1
336010,20250530,1
341510,20250530,1
33610,20250602,1
34010,20250602,1
65110,20250602,1
336110,20250602,1
341510,20250602,1
33610,20250603,1
34010,20250603,1
65110,20250603,1
336010,20250603,1
341610,20250603,1
33710,20250604,1
34010,20250604,1
65010,20250604,1
336010,20250604,1
341510,20250604,1
33610,20250605,1
34010,20250605,1
65110,20250605,1
336010,20250605,1
341510,20250605,1
33610,20250606,1
34110,20250606,1
65010,20250606,1
336010,20250606,1
341510,20250606,1
33610,20250609,1
34010,20250609,1
65110,20250609,1
336110,20250609,1
341510,20250609,1
33610,20250610,1
34010,20250610,1
65110,20250610,1
336010,20250610,1
341610,20250610,1
33710,20250611,1
34010,20250611,1
65010,20250611,1
336010,20250611,1
341510,20250611,1
33610,20250612,1
34010,20250612,1
65110,20250612,1
336010,20250612,1
341510,20250612,1
33610,20250613,1
34110,20250613,1
65010,20250613,1
336010,20250613,1
341510,20250613,1
19,20250526,1
16,20250526,2
26,20250526,1
22,20250526,2
31,20250526,1
28,20250526,2
340640,20250317,1
340540,20250318,1
340540,20250319,1
340540,20250320,1
340540,20250321,1
340640,20250324,1
340540,20250325,1
340540,20250326,1
340540,20250327,1
340540,20250328,1
340640,20250331,1
340540,20250401,1
340540,20250402,1
340540,20250403,1
340540,20250404,1
340640,20250407,1
340540,20250408,1
340540,20250409,1
340540,20250410,1
340540,20250411,1
340640,20250414,1
340540,20250415,1
340540,20250416,1
340540,20250417,1
340540,20250418,1
340640,20250421,1
340540,20250422,1
340540,20250423,1
340540,20250424,1
340540,20250425,1
340640,20250428,1
340540,20250429,1
340540,20250430,1
340540,20250501,1
340540,20250502,1
340640,20250505,1
340540,20250506,1
340540,20250507,1
340540,20250508,1
340540,20250509,1
340640,20250512,1
340540,20250513,1
340540,20250514,1
340540,20250515,1
340540,20250516,1
340640,20250519,1
340540,20250520,1
340540,20250521,1
340540,20250522,1
340540,20250523,1
43,20250526,1
40,20250526,2
340540,20250527,1
340540,20250528,1
340540,20250529,1
340540,20250530,1
340640,20250602,1
340540,20250603,1
340540,20250604,1
340540,20250605,1
340540,20250606,1
340640,20250609,1
340540,20250610,1
340540,20250611,1
340540,20250612,1
340540,20250613,1
308749,20250316,1
308746,20250317,1
341046,20250317,1
308746,20250318,1
340946,20250318,1
308846,20250319,1
340946,20250319,1
308846,20250320,1
340946,20250320,1
308846,20250321,1
340946,20250321,1
308749,20250323,1
308746,20250324,1
341046,20250324,1
308746,20250325,1
340946,20250325,1
308846,20250326,1
340946,20250326,1
308846,20250327,1
340946,20250327,1
308846,20250328,1
340946,20250328,1
308749,20250330,1
308746,20250331,1
341046,20250331,1
308746,20250401,1
340946,20250401,1
308846,20250402,1
340946,20250402,1
308846,20250403,1
340946,20250403,1
308846,20250404,1
340946,20250404,1
308749,20250406,1
308746,20250407,1
341046,20250407,1
308746,20250408,1
340946,20250408,1
308846,20250409,1
340946,20250409,1
308846,20250410,1
340946,20250410,1
308846,20250411,1
340946,20250411,1
308749,20250413,1
308746,20250414,1
341046,20250414,1
308746,20250415,1
340946,20250415,1
308846,20250416,1
340946,20250416,1
308846,20250417,1
340946,20250417,1
308846,20250418,1
340946,20250418,1
308749,20250420,1
308746,20250421,1
341046,20250421,1
308746,20250422,1
340946,20250422,1
308846,20250423,1
340946,20250423,1
308846,20250424,1
340946,20250424,1
308846,20250425,1
340946,20250425,1
308749,20250427,1
308746,20250428,1
341046,20250428,1
308746,20250429,1
340946,20250429,1
308846,20250430,1
340946,20250430,1
308846,20250501,1
340946,20250501,1
308846,20250502,1
340946,20250502,1
308749,20250504,1
308746,20250505,1
341046,20250505,1
308746,20250506,1
340946,20250506,1
308846,20250507,1
340946,20250507,1
308846,20250508,1
340946,20250508,1
308846,20250509,1
340946,20250509,1
308749,20250511,1
308746,20250512,1
341046,20250512,1
308746,20250513,1
340946,20250513,1
308846,20250514,1
340946,20250514,1
308846,20250515,1
340946,20250515,1
308846,20250516,1
340946,20250516,1
308749,20250518,1
308746,20250519,1
341046,20250519,1
308746,20250520,1
340946,20250520,1
308846,20250521,1
340946,20250521,1
308846,20250522,1
340946,20250522,1
308846,20250523,1
340946,20250523,1
308849,20250525,1
308849,20250526,1
49,20250526,1
46,20250526,2
308846,20250527,1
340946,20250527,1
308846,20250528,1
340946,20250528,1
308846,20250529,1
340946,20250529,1
308846,20250530,1
340946,20250530,1
308749,20250601,1
308746,20250602,1
341046,20250602,1
308746,20250603,1
340946,20250603,1
308846,20250604,1
340946,20250604,1
308846,20250605,1
340946,20250605,1
308846,20250606,1
340946,20250606,1
308749,20250608,1
308746,20250609,1
341046,20250609,1
308746,20250610,1
340946,20250610,1
308846,20250611,1
340946,20250611,1
308846,20250612,1
340946,20250612,1
308846,20250613,1
340946,20250613,1
308055,20250316,1
308052,20250317,1
341252,20250317,1
308052,20250318,1
341352,20250318,1
308152,20250319,1
341352,20250319,1
308152,20250320,1
341352,20250320,1
308152,20250321,1
341352,20250321,1
308055,20250323,1
308052,20250324,1
341252,20250324,1
308052,20250325,1
341352,20250325,1
308152,20250326,1
341352,20250326,1
308152,20250327,1
341352,20250327,1
308152,20250328,1
341352,20250328,1
308055,20250330,1
308052,20250331,1
341252,20250331,1
308052,20250401,1
341352,20250401,1
308152,20250402,1
341352,20250402,1
308152,20250403,1
341352,20250403,1
308152,20250404,1
341352,20250404,1
308055,20250406,1
308052,20250407,1
341252,20250407,1
308052,20250408,1
341352,20250408,1
308152,20250409,1
341352,20250409,1
308152,20250410,1
341352,20250410,1
308152,20250411,1
341352,20250411,1
308055,20250413,1
308052,20250414,1
341252,20250414,1
308052,20250415,1
341352,20250415,1
308152,20250416,1
341352,20250416,1
308152,20250417,1
341352,20250417,1
308152,20250418,1
341352,20250418,1
308055,20250420,1
308052,20250421,1
341252,20250421,1
308052,20250422,1
341352,20250422,1
308152,20250423,1
341352,20250423,1
308152,20250424,1
341352,20250424,1
308152,20250425,1
341352,20250425,1
308055,20250427,1
308052,20250428,1
341252,20250428,1
308052,20250429,1
341352,20250429,1
308152,20250430,1
341352,20250430,1
308152,20250501,1
341352,20250501,1
308152,20250502,1
341352,20250502,1
308055,20250504,1
308052,20250505,1
341252,20250505,1
308052,20250506,1
341352,20250506,1
308152,20250507,1
341352,20250507,1
