route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
L1,16,81542,Frankford Transit Center,,0,2,297793,1,
L1,16,81543,Frankford Transit Center,,0,4,297795,1,
L1,16,81544,Frankford Transit Center,,0,6,297795,1,
L1,16,81545,Frankford Transit Center,,0,1,297795,1,
L1,16,81586,Frankford Transit Center,,0,8,297795,1,
L1,16,81587,Frankford Transit Center,,0,3,297795,1,
L1,16,81588,Frankford Transit Center,,0,9,297795,1,
L1,16,81589,Frankford Transit Center,,0,5,297795,1,
L1,16,81590,Frankford Transit Center,,0,11,297795,1,
L1,16,81591,Frankford Transit Center,,0,7,297795,1,
L1,16,81592,Frankford Transit Center,,0,12,297795,1,
L1,16,81593,Frankford Transit Center,,0,2,297795,1,
L1,16,81432,Frankford Transit Center,,0,14,297795,1,
L1,16,81433,Frankford Transit Center,,0,4,297795,1,
L1,16,81434,Frankford Transit Center,,0,15,297795,1,
L1,16,81435,Frankford Transit Center,,0,10,297795,1,
L1,16,81436,Frankford Transit Center,,0,16,297795,1,
L1,16,81437,Frankford Transit Center,,0,6,297795,1,
L1,16,81438,Frankford Transit Center,,0,1,297795,1,
L1,16,81440,Frankford Transit Center,,0,8,297795,1,
L1,16,81441,Frankford Transit Center,,0,13,297795,1,
L1,16,81442,Frankford Transit Center,,0,3,297795,1,
L1,16,81439,Frankford Transit Center,,0,9,297795,1,
L1,16,81443,Frankford Transit Center,,0,5,297795,1,
L1,16,81444,Frankford Transit Center,,0,11,297795,1,
L1,16,81445,Frankford Transit Center,,0,7,297795,1,
L1,16,81446,Frankford Transit Center,,0,12,297795,1,
L1,16,81447,Frankford Transit Center,,0,2,297795,1,
L1,16,81448,Frankford Transit Center,,0,14,297795,1,
L1,16,81449,Frankford Transit Center,,0,4,297795,1,
L1,16,81450,Frankford Transit Center,,0,15,297795,1,
L1,16,81451,Frankford Transit Center,,0,10,297795,1,
L1,16,81452,Frankford Transit Center,,0,16,297795,1,
L1,16,81558,Frankford Transit Center,,0,6,297795,1,
L1,16,81559,Frankford Transit Center,,0,1,297795,1,
L1,16,81560,Frankford Transit Center,,0,8,297795,1,
L1,16,81562,Frankford Transit Center,,0,13,297795,1,
L1,16,81563,Frankford Transit Center,,0,3,297795,1,
L1,16,81564,Frankford Transit Center,,0,9,297795,1,
L1,16,81561,Frankford Transit Center,,0,5,297795,1,
L1,16,81565,Frankford Transit Center,,0,11,297795,1,
L1,16,81566,Frankford Transit Center,,0,7,297795,1,
L1,16,81567,Frankford Transit Center,,0,12,297795,1,
L1,16,81568,Frankford Transit Center,,0,2,297795,1,
L1,16,81570,Frankford Transit Center,,0,14,297795,1,
L1,16,81571,Frankford Transit Center,,0,4,297795,1,
L1,16,81569,Frankford Transit Center,,0,15,297795,1,
L1,16,81572,Frankford Transit Center,,0,10,297795,1,
L1,16,81505,Frankford Transit Center,,0,16,297795,1,
L1,16,81453,Frankford Transit Center,,0,6,297795,1,
L1,16,81454,Frankford Transit Center,,0,1,297795,1,
L1,16,81455,Frankford Transit Center,,0,8,297795,1,
L1,16,81456,Frankford Transit Center,,0,13,297795,1,
L1,16,81457,Frankford Transit Center,,0,3,297795,1,
L1,16,81549,Frankford Transit Center,,0,9,297795,1,
L1,16,81550,Frankford Transit Center,,0,5,297795,1,
L1,16,81546,Frankford Transit Center,,0,11,297795,1,
L1,16,81547,Frankford Transit Center,,0,7,297795,1,
L1,16,81548,Frankford Transit Center,,0,12,297795,1,
L1,16,81478,Frankford Transit Center,,0,2,297795,1,
L1,16,81479,Frankford Transit Center,,0,14,297795,1,
L1,16,81480,Frankford Transit Center,,0,4,297795,1,
L1,16,81481,Frankford Transit Center,,0,15,297795,1,
L1,16,81482,Frankford Transit Center,,0,10,297795,1,
L1,16,81483,Frankford Transit Center,,0,16,297795,1,
L1,16,81484,Frankford Transit Center,,0,6,297795,1,
L1,16,81485,Frankford Transit Center,,0,1,297795,1,
L1,16,81486,Frankford Transit Center,,0,8,297795,1,
L1,16,81487,Frankford Transit Center,,0,13,297795,1,
L1,16,81488,Frankford Transit Center,,0,3,297795,1,
L1,16,81489,Frankford Transit Center,,0,9,297795,1,
L1,16,81490,Frankford Transit Center,,0,5,297795,1,
L1,16,81491,Frankford Transit Center,,0,11,297795,1,
L1,16,81492,Frankford Transit Center,,0,7,297795,1,
L1,16,81493,Frankford Transit Center,,0,12,297795,1,
L1,16,81494,Frankford Transit Center,,0,2,297795,1,
L1,16,81495,Frankford Transit Center,,0,14,297795,1,
L1,16,81496,Frankford Transit Center,,0,4,297795,1,
L1,16,81497,Frankford Transit Center,,0,15,297795,1,
L1,16,81583,Frankford Transit Center,,0,10,297795,1,
L1,16,81584,Frankford Transit Center,,0,16,297795,1,
L1,16,81585,Frankford Transit Center,,0,6,297795,1,
L1,16,81498,Frankford Transit Center,,0,1,297795,1,
L1,16,81499,Frankford Transit Center,,0,8,297795,1,
L1,16,81500,Frankford Transit Center,,0,13,297795,1,
L1,16,81501,Frankford Transit Center,,0,3,297795,1,
L1,16,81509,Frankford Transit Center,,0,9,297795,1,
L1,16,81502,Frankford Transit Center,,0,5,297795,1,
L1,16,81504,Frankford Transit Center,,0,11,297795,1,
